problem_id,turn,is_correct
aime_2025_0,1,1.0
aime_2025_0,2,0.984375
aime_2025_0,3,0.96875
aime_2025_0,4,0.96875
aime_2025_0,5,0.96875
aime_2025_0,6,0.984375
aime_2025_0,7,0.984375
aime_2025_0,8,1.0
aime_2025_0,9,1.0
aime_2025_0,10,0.984375
aime_2025_1,1,0.96875
aime_2025_1,2,0.953125
aime_2025_1,3,0.90625
aime_2025_1,4,0.90625
aime_2025_1,5,0.96875
aime_2025_1,6,0.96875
aime_2025_1,7,0.921875
aime_2025_1,8,1.0
aime_2025_1,9,0.90625
aime_2025_1,10,0.921875
aime_2025_10,1,0.6875
aime_2025_10,2,0.671875
aime_2025_10,3,0.71875
aime_2025_10,4,0.6875
aime_2025_10,5,0.765625
aime_2025_10,6,0.796875
aime_2025_10,7,0.703125
aime_2025_10,8,0.703125
aime_2025_10,9,0.78125
aime_2025_10,10,0.796875
aime_2025_11,1,0.6875
aime_2025_11,2,0.75
aime_2025_11,3,0.578125
aime_2025_11,4,0.6875
aime_2025_11,5,0.75
aime_2025_11,6,0.734375
aime_2025_11,7,0.6875
aime_2025_11,8,0.75
aime_2025_11,9,0.734375
aime_2025_11,10,0.65625
aime_2025_12,1,0.234375
aime_2025_12,2,0.296875
aime_2025_12,3,0.15625
aime_2025_12,4,0.28125
aime_2025_12,5,0.328125
aime_2025_12,6,0.3125
aime_2025_12,7,0.265625
aime_2025_12,8,0.1875
aime_2025_12,9,0.234375
aime_2025_12,10,0.234375
aime_2025_13,1,0.015625
aime_2025_13,2,0.03125
aime_2025_13,3,0.03125
aime_2025_13,4,0.015625
aime_2025_13,5,0.015625
aime_2025_13,6,0.03125
aime_2025_13,7,0.015625
aime_2025_13,8,0.03125
aime_2025_13,9,0.0
aime_2025_13,10,0.0
aime_2025_14,1,0.03125
aime_2025_14,2,0.0
aime_2025_14,3,0.0
aime_2025_14,4,0.0
aime_2025_14,5,0.0
aime_2025_14,6,0.0
aime_2025_14,7,0.0
aime_2025_14,8,0.0
aime_2025_14,9,0.0
aime_2025_14,10,0.0
aime_2025_15,1,1.0
aime_2025_15,2,0.953125
aime_2025_15,3,0.96875
aime_2025_15,4,0.984375
aime_2025_15,5,0.96875
aime_2025_15,6,0.984375
aime_2025_15,7,0.96875
aime_2025_15,8,0.984375
aime_2025_15,9,0.984375
aime_2025_15,10,0.96875
aime_2025_16,1,1.0
aime_2025_16,2,0.984375
aime_2025_16,3,0.96875
aime_2025_16,4,0.96875
aime_2025_16,5,0.984375
aime_2025_16,6,0.953125
aime_2025_16,7,1.0
aime_2025_16,8,0.984375
aime_2025_16,9,1.0
aime_2025_16,10,0.96875
aime_2025_17,1,0.8125
aime_2025_17,2,0.5625
aime_2025_17,3,0.71875
aime_2025_17,4,0.71875
aime_2025_17,5,0.71875
aime_2025_17,6,0.703125
aime_2025_17,7,0.65625
aime_2025_17,8,0.671875
aime_2025_17,9,0.703125
aime_2025_17,10,0.703125
aime_2025_18,1,0.953125
aime_2025_18,2,0.921875
aime_2025_18,3,0.9375
aime_2025_18,4,0.984375
aime_2025_18,5,0.921875
aime_2025_18,6,0.96875
aime_2025_18,7,0.984375
aime_2025_18,8,0.875
aime_2025_18,9,0.984375
aime_2025_18,10,0.921875
aime_2025_19,1,0.75
aime_2025_19,2,0.671875
aime_2025_19,3,0.703125
aime_2025_19,4,0.671875
aime_2025_19,5,0.65625
aime_2025_19,6,0.78125
aime_2025_19,7,0.6875
aime_2025_19,8,0.65625
aime_2025_19,9,0.765625
aime_2025_19,10,0.640625
aime_2025_2,1,0.984375
aime_2025_2,2,0.984375
aime_2025_2,3,0.984375
aime_2025_2,4,1.0
aime_2025_2,5,1.0
aime_2025_2,6,0.984375
aime_2025_2,7,0.984375
aime_2025_2,8,1.0
aime_2025_2,9,1.0
aime_2025_2,10,0.984375
aime_2025_20,1,0.921875
aime_2025_20,2,0.96875
aime_2025_20,3,0.953125
aime_2025_20,4,0.9375
aime_2025_20,5,0.9375
aime_2025_20,6,0.890625
aime_2025_20,7,0.9375
aime_2025_20,8,0.90625
aime_2025_20,9,0.890625
aime_2025_20,10,0.984375
aime_2025_21,1,0.984375
aime_2025_21,2,1.0
aime_2025_21,3,1.0
aime_2025_21,4,1.0
aime_2025_21,5,1.0
aime_2025_21,6,0.984375
aime_2025_21,7,1.0
aime_2025_21,8,0.984375
aime_2025_21,9,1.0
aime_2025_21,10,0.953125
aime_2025_22,1,0.59375
aime_2025_22,2,0.46875
aime_2025_22,3,0.5
aime_2025_22,4,0.578125
aime_2025_22,5,0.65625
aime_2025_22,6,0.671875
aime_2025_22,7,0.578125
aime_2025_22,8,0.625
aime_2025_22,9,0.59375
aime_2025_22,10,0.625
aime_2025_23,1,0.5
aime_2025_23,2,0.53125
aime_2025_23,3,0.671875
aime_2025_23,4,0.546875
aime_2025_23,5,0.65625
aime_2025_23,6,0.4375
aime_2025_23,7,0.625
aime_2025_23,8,0.515625
aime_2025_23,9,0.578125
aime_2025_23,10,0.609375
aime_2025_24,1,0.890625
aime_2025_24,2,0.90625
aime_2025_24,3,0.90625
aime_2025_24,4,0.90625
aime_2025_24,5,0.875
aime_2025_24,6,0.890625
aime_2025_24,7,0.90625
aime_2025_24,8,0.890625
aime_2025_24,9,0.953125
aime_2025_24,10,0.9375
aime_2025_25,1,0.671875
aime_2025_25,2,0.65625
aime_2025_25,3,0.84375
aime_2025_25,4,0.71875
aime_2025_25,5,0.546875
aime_2025_25,6,0.59375
aime_2025_25,7,0.671875
aime_2025_25,8,0.6875
aime_2025_25,9,0.6875
aime_2025_25,10,0.734375
aime_2025_26,1,0.953125
aime_2025_26,2,0.96875
aime_2025_26,3,0.90625
aime_2025_26,4,0.84375
aime_2025_26,5,0.9375
aime_2025_26,6,0.921875
aime_2025_26,7,0.984375
aime_2025_26,8,0.96875
aime_2025_26,9,0.90625
aime_2025_26,10,0.9375
aime_2025_27,1,0.1875
aime_2025_27,2,0.109375
aime_2025_27,3,0.15625
aime_2025_27,4,0.15625
aime_2025_27,5,0.078125
aime_2025_27,6,0.171875
aime_2025_27,7,0.234375
aime_2025_27,8,0.1875
aime_2025_27,9,0.171875
aime_2025_27,10,0.203125
aime_2025_28,1,0.859375
aime_2025_28,2,0.75
aime_2025_28,3,0.796875
aime_2025_28,4,0.765625
aime_2025_28,5,0.796875
aime_2025_28,6,0.828125
aime_2025_28,7,0.78125
aime_2025_28,8,0.78125
aime_2025_28,9,0.8125
aime_2025_28,10,0.734375
aime_2025_29,1,0.28125
aime_2025_29,2,0.28125
aime_2025_29,3,0.171875
aime_2025_29,4,0.21875
aime_2025_29,5,0.234375
aime_2025_29,6,0.140625
aime_2025_29,7,0.25
aime_2025_29,8,0.171875
aime_2025_29,9,0.3125
aime_2025_29,10,0.28125
aime_2025_3,1,1.0
aime_2025_3,2,0.9375
aime_2025_3,3,0.984375
aime_2025_3,4,1.0
aime_2025_3,5,0.953125
aime_2025_3,6,0.96875
aime_2025_3,7,0.984375
aime_2025_3,8,1.0
aime_2025_3,9,0.953125
aime_2025_3,10,0.984375
aime_2025_4,1,0.96875
aime_2025_4,2,0.96875
aime_2025_4,3,0.984375
aime_2025_4,4,0.953125
aime_2025_4,5,0.984375
aime_2025_4,6,0.96875
aime_2025_4,7,0.984375
aime_2025_4,8,0.984375
aime_2025_4,9,0.984375
aime_2025_4,10,0.90625
aime_2025_5,1,1.0
aime_2025_5,2,0.96875
aime_2025_5,3,1.0
aime_2025_5,4,1.0
aime_2025_5,5,1.0
aime_2025_5,6,0.984375
aime_2025_5,7,0.953125
aime_2025_5,8,1.0
aime_2025_5,9,0.984375
aime_2025_5,10,0.984375
aime_2025_6,1,0.515625
aime_2025_6,2,0.59375
aime_2025_6,3,0.546875
aime_2025_6,4,0.453125
aime_2025_6,5,0.609375
aime_2025_6,6,0.53125
aime_2025_6,7,0.515625
aime_2025_6,8,0.546875
aime_2025_6,9,0.453125
aime_2025_6,10,0.46875
aime_2025_7,1,0.9375
aime_2025_7,2,0.921875
aime_2025_7,3,0.9375
aime_2025_7,4,0.9375
aime_2025_7,5,0.953125
aime_2025_7,6,0.921875
aime_2025_7,7,0.953125
aime_2025_7,8,0.890625
aime_2025_7,9,0.921875
aime_2025_7,10,0.9375
aime_2025_8,1,0.59375
aime_2025_8,2,0.734375
aime_2025_8,3,0.609375
aime_2025_8,4,0.765625
aime_2025_8,5,0.65625
aime_2025_8,6,0.734375
aime_2025_8,7,0.734375
aime_2025_8,8,0.703125
aime_2025_8,9,0.671875
aime_2025_8,10,0.625
aime_2025_9,1,0.640625
aime_2025_9,2,0.53125
aime_2025_9,3,0.59375
aime_2025_9,4,0.625
aime_2025_9,5,0.625
aime_2025_9,6,0.515625
aime_2025_9,7,0.515625
aime_2025_9,8,0.609375
aime_2025_9,9,0.609375
aime_2025_9,10,0.625
